Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,296.8881530761719,296.90644827655234,294.74970630853255,295.672721478946,59151200
2020-01-03,294.6400451660156,295.76411231173057,293.442880886225,293.49771070903796,77709700
2020-01-06,295.7641296386719,295.8463743777095,292.76661707449347,292.8854243272233,55653900
2020-01-07,294.9324951171875,295.6727256283345,294.48468103695666,295.1974966361732,40496400
2020-01-08,296.5044250488281,297.7198569770003,294.87774144646704,295.12447571756087,68296000
2020-01-09,298.5148620605469,298.5879870903448,297.48218715461246,298.0670758368869,48473300
2020-01-10,297.6557922363281,299.25506045062673,297.18973874984056,299.09971858480566,53029300
2020-01-13,299.702880859375,299.7120005705417,297.8477308070792,298.2772496807154,47086800
2020-01-14,299.2459716796875,300.31518120708546,298.6884979136288,299.264238992548,62832800
2020-01-15,299.92218017578125,300.6806779375008,299.0722900853066,299.1545348144793,72056600
2020-01-16,302.4171142578125,302.4171142578125,301.0737276112458,301.30219453828755,54050300
2020-01-17,303.3583679199219,303.56853962375646,302.3531079591049,303.12990101469194,95846000
2020-01-21,302.7643127441406,303.5685206625626,302.32567416247394,302.39877129641013,77742400
2020-01-22,302.80084228515625,304.2721834050225,302.64550043407195,303.62331742525095,48914900
2020-01-23,303.148193359375,303.5594449783584,301.03716121185505,302.15208091700214,51963000
2020-01-24,300.4522399902344,303.88839108132504,299.1636833310754,303.80614634423307,87578400
2020-01-27,295.6361999511719,297.1166611579254,294.8685544324489,295.2066810180619,84062500
2020-01-28,298.7342224121094,299.61152758511525,295.72758990467884,297.0618289224419,63834000
2020-01-29,298.4873962402344,300.32427882650586,298.28634427611996,300.0958119531496,53888900
2020-01-30,299.4562072753906,299.6664069187532,295.67280891809725,296.4221593516263,75491800
2020-01-31,294.0185546875,298.98999533866976,293.10468733087345,298.83462561687514,113845600
2020-02-03,296.20281982421875,298.067117900778,295.3803444015998,295.49915167501734,69083000
2020-02-04,300.7172546386719,301.5854399692841,299.492675464825,299.8125346860519,62573200
2020-02-05,304.1899719238281,304.4001715229161,302.18862743263116,303.6507933581962,65951100
2020-02-06,305.2135314941406,305.40543589404376,304.1351464583818,305.14955406449695,50359700
2020-02-07,303.5869445800781,305.2227481328128,303.0386182314861,304.15353824764316,64139400
2020-02-10,305.85321044921875,305.91718787642037,302.66382135820703,302.7003838721832,42070000
2020-02-11,306.38330078125,307.9916890041701,305.85324188570775,307.20577615157714,54864500
2020-02-12,308.3572082519531,308.5673799444257,307.4524603916157,307.81800184241695,43992700
2020-02-13,308.0281982421875,308.99689562686603,306.6573968990736,306.9315460120865,54501900
2020-02-14,308.5216979980469,308.6405052446944,307.2422889745831,308.4394532632197,64582200
2020-02-18,307.7266540527344,308.58569184757795,306.3375574198674,307.5256020605576,57226200
2020-02-19,309.197998046875,309.87425122864335,308.4120852020123,308.69538196134926,48814700
2020-02-20,307.9276428222656,309.4720810157457,304.9392784662439,308.64957801451567,74163400
2020-02-21,304.7566223144531,306.88592186587607,303.9341190417113,306.57521018265294,113788200
2020-02-24,294.6492004394531,304.82967088286625,293.5708154883239,295.3071862193686,161088400
2020-02-25,285.7207336425781,296.6505836333486,284.8434284508616,296.0383078861717,218913200
2020-02-26,284.66973876953125,290.71038982346295,283.938655892988,287.1188970838777,194773800
2020-02-27,271.884765625,284.72459458112405,271.884765625,279.1499964992916,284353500
2020-02-28,270.74237060546875,272.2319789613865,260.9457107535948,263.833535145683,384975800
2020-03-02,282.46734619140625,282.53132361972916,269.0974581232793,272.5244617816566,238703600
2020-03-03,274.3796081542969,286.8082134931983,271.93959720140725,282.8420313278847,300139100
2020-03-04,285.91265869140625,286.1320059219411,277.20349991147214,279.75319881257633,176613400
2020-03-05,276.4083557128906,281.90070830188273,274.1693970755827,278.71131965746457,186366800
2020-03-06,271.8391418457031,273.04545418535724,265.2318946775306,267.9003733681207,228667200
2020-03-09,250.6099395751953,259.71205370103047,249.8971239127328,251.58775678015627,309417300
2020-03-10,263.57769775390625,263.6690622000133,249.94278128953638,260.12327944250404,276444100
2020-03-11,250.7287139892578,257.65584636432993,247.54847242990883,256.52265940769087,255316300
2020-03-12,226.73971557617188,243.69196419793585,226.34674521407393,233.95013117048154,392220700
2020-03-13,246.12278747558594,248.09674450743702,227.11434179246803,240.42938324174193,329566100
2020-03-16,219.191162109375,234.7725944345364,216.9156266338003,220.40659381646842,297240000
2020-03-17,231.02577209472656,234.1055159225691,216.65063616065999,223.93414936559594,262070500
2020-03-18,219.32823181152344,226.977299433706,208.380101478062,215.90122818946838,327597100
2020-03-19,219.79429626464844,226.07257629627384,212.21833983048688,218.6428280834812,289322000
2020-03-20,210.32247924804688,224.72699332473326,210.0467039648909,222.94366239037342,347158800
2020-03-23,204.94488525390625,211.13137648969655,200.6336404665036,209.76171566084122,326025200
2020-03-24,223.51353454589844,224.38682507267387,214.91863611227424,215.4885612758454,235494500
2020-03-25,226.8595733642578,235.64753271475618,220.3881202388159,225.09463160277366,299430300
2020-03-26,240.1058807373047,241.57664463189138,228.93708857476466,229.36913318338085,257632800
2020-03-27,232.95416259765625,239.7473562360883,230.77556488684385,232.8162819931154,224341200
2020-03-30,240.51953125,241.2365384930664,233.0552948085847,235.05004716701424,171369500
2020-03-31,236.9344940185547,242.0638491887975,235.52805566114748,239.5175603608972,194881100
2020-04-01,226.27127075195312,236.85174851191033,224.20297754937033,227.95348423990177,189554600
2020-04-02,231.49258422851562,232.27393107275833,224.83727084545978,225.38882134558207,177660400
2020-04-03,228.14651489257812,232.8622275477319,225.41636693712175,230.50895788891833,135561200
2020-04-06,243.4702911376953,245.43748142052502,228.12816222742413,237.01722588258153,188061200
2020-04-07,243.71849060058594,252.81897536266575,243.49788162912452,252.0651906394755,201427200
2020-04-08,251.89964294433594,253.71054907251752,243.82870703436694,246.31984261425717,153774500
2020-04-09,255.73300170898438,258.49072626492733,253.2234622639874,255.16304840288197,189999200
2020-04-13,253.39808654785156,255.09868874078822,249.4913106154663,254.7585739128051,114839100
2020-04-14,260.87164306640625,261.89198801768356,253.2603219447851,258.28857580522424,134143400
2020-04-15,255.32852172851562,261.0094273258755,253.21424949877317,255.1538636035753,121775000
2020-04-16,256.56036376953125,257.4152518167674,253.49009986161752,256.60631463326337,131798300
2020-04-17,263.49139404296875,264.09806873944035,259.59379105102954,262.3331407891114,146684800
2020-04-20,258.8492126464844,263.6292797051415,258.6286036617239,259.786828884741,100109300
2020-04-21,250.9897003173828,255.5859076947366,250.05205605846757,254.38170360611178,126385700
2020-04-22,256.56036376953125,258.3069173868075,254.5472222047297,255.87093249536716,92951600
2020-04-23,256.54193115234375,261.00945987704335,256.2385937703153,257.8380651634286,104709700
2020-04-24,260.11773681640625,260.7887931290741,256.00872668784143,258.0586450832086,85063200
2020-04-27,263.8681640625,264.98963940111986,261.63441477383543,262.0940353543679,77896600
2020-04-28,262.6549377441406,267.8670224080393,262.3515722772504,267.5177060779378,105270000
2020-04-29,269.53076171875,271.0659071925588,266.9568970325676,267.98644290704055,118745600
2020-04-30,267.02130126953125,269.63194396115506,265.28392123731965,268.1519504463422,122901700
2020-05-01,259.9523010253906,267.18672684650835,258.78484641412496,262.26877941171466,125180000
2020-05-04,260.66937255859375,260.97270997271914,256.5879372139992,258.0679028682671,80873200
2020-05-05,263.07769775390625,265.8905741855777,260.79796898937275,263.4913676039255,79569900
2020-05-06,261.2944030761719,265.1644020355753,260.86235843797067,264.7783363053678,73632600
2020-05-07,264.4473876953125,266.3778004537861,263.9418160920804,264.5117413329673,75250400
2020-05-08,268.82293701171875,269.29175906737254,266.45127866866704,267.5819556045888,76452400
2020-05-11,268.87811279296875,270.2569749098558,266.4697047839562,266.89254797828886,79514200
2020-05-12,263.5189514160156,270.47758767684087,263.3810427599695,270.0639458677684,95870800
2020-05-13,258.8584289550781,263.9969859100772,256.43161777077114,262.95823845859854,144721100
2020-05-14,261.9562683105469,262.08494754129237,250.94374432958452,256.42244422191715,121977900
2020-05-15,263.160400390625,263.2063512347929,258.61934608730513,259.5661635119153,111146300
2020-05-18,271.17620849609375,272.78488091937567,269.0619645324173,269.383676574657,119703800
2020-05-19,268.39093017578125,272.28850498888653,268.3725554456711,270.5787293388812,95189300
2020-05-20,272.950439453125,273.81452892134183,271.7002841690001,271.93009460090815,85861700
2020-05-21,271.06597900390625,273.63067103163144,269.9720792092253,272.82173390080567,78293900
2020-05-22,271.5806579589844,271.75531605411203,269.53994110545716,270.78092249867296,63958200
2020-05-26,274.92669677734375,277.7855520274972,271.59904750423533,277.54654029417327,88951400
2020-05-27,279.01727294921875,279.0540504510923,272.8951233524511,277.7211395250684,104817400
2020-05-28,278.5025329589844,282.0599922398802,277.83147672252164,280.0468515835098,90405200
2020-05-29,279.7435302734375,280.3318301412633,275.2852041805372,278.03372679987336,119090800
2020-06-01,280.87420654296875,281.48090925059915,278.58530436878937,279.100077323199,55758300
2020-06-02,283.1999206542969,283.24589956300736,280.46059882527766,281.79348222342395,74267200
2020-06-03,286.96881103515625,287.92483007098406,284.9097190069347,285.18548024177693,92567600
2020-06-04,286.21502685546875,287.722596417164,284.1191573072027,285.98521647494385,75794400
2020-06-05,293.550537109375,295.32466622909004,291.54659764607965,291.61095127500704,150524700
2020-06-08,297.0989074707031,297.2919403590866,293.8172081030423,294.3595573009957,73641200
2020-06-09,294.88348388671875,297.17238620785696,293.5689472426089,294.43303648292283,77479200
2020-06-10,293.2379455566406,296.35418671938277,292.5209385360209,295.46252162487986,95000800
2020-06-11,276.3330993652344,286.9411512707297,275.7815770563141,286.3068725624546,209243600
2020-06-12,279.64239501953125,284.11909577413104,274.4854646628665,283.34693642916073,194678900
2020-06-15,282.2530212402344,283.38369810345534,272.7756459737203,273.9522736793171,135782700
2020-06-16,287.685791015625,290.14937937635153,282.82302403325144,290.0022973807095,137627500
2020-06-17,286.4908447265625,289.0003844313553,285.7554346036974,288.70622038220927,83398900
2020-06-18,286.6011047363281,287.0791002022098,284.5144366960276,284.97405743157583,80828700
2020-06-19,284.96319580078125,290.26285198086515,283.01504638164135,290.0689696801593,135549600
2020-06-22,286.7912902832031,287.18829677421513,283.2181755111513,284.36304192298934,74649400
2020-06-23,288.1116027832031,290.37366646344435,287.70535438204575,289.44113788217754,68471200
2020-06-24,280.7621765136719,286.6896879902903,278.92484547295174,286.07107366384247,132813500
2020-06-25,283.7721252441406,284.03988623160495,278.16776915357684,280.18976894126644,89468000
2020-06-26,277.0321350097656,282.88579689027085,276.45048811590635,282.67343082724625,127961000
